Frame,Maximum diameter of the drop (d_e),Diameter at the lowest end (d_s),Surface_Tension
236,0.0013725932623787043,0.0010007476950936057,14.146984806041363
237,0.0013674875040923576,0.0010007476950936057,13.912232884641757
238,0.0013752077717892064,0.001000180788407304,14.288526215635839
239,0.0013685895015379274,0.001000836464575527,13.959558770533471
240,0.0013827482215084395,0.000989538916747779,15.03896202347642
241,0.0013762613428429692,0.001000180788407304,14.337742618386752
242,0.0013848885941700171,0.0010007476950936057,14.724940482840342
243,0.0013806958192897562,0.0010109599904217625,14.163208760162847
244,0.0013774056147392985,0.000988519430149486,14.817799099770296
245,0.0013709295878871048,0.0009891897907324985,14.483079952766538
246,0.0013917428348222721,0.0009997396387359362,15.092828830414522
247,0.0013879340572983973,0.001000180788407304,14.89188749809012
248,0.0013861621388636283,0.0009992352291989153,14.841627045508876
249,0.0013692649368702455,0.0010002820015628461,14.009836909222738
250,0.0013668318076125818,0.0009773412773676372,14.724980467211799
251,0.0013809240146172032,0.0010113962460246554,14.158503928218032
252,0.0013879340572983973,0.001000180788407304,14.89188749809012
253,0.0013911087627503267,0.001000180788407304,15.045442506185706
254,0.0013863894344524092,0.0009997396387359362,14.83390491422014
255,0.0013981128140502462,0.001000180788407304,15.388569081083645
256,0.0013784627174920922,0.0009897504676749946,14.822921261114212
257,0.0013990140084290175,0.001000180788407304,15.433156190139007
258,0.001415461900626476,0.001011418774793903,15.818445509568214
259,0.0013932362915091605,0.001000180788407304,15.14903412320926
260,0.0014225012187552603,0.001011418774793903,16.17474124394882
261,0.0014162057375917932,0.0010007476950936057,16.280143657615504
262,0.0014213581779442036,0.0009889655848523038,17.0430335884469
263,0.0013966245719993738,0.0009889655848523038,15.75127797041899
264,0.0014036459966357776,0.0009994244126083664,15.693448059081797
265,0.0014209590881769812,0.0009997396387359362,16.56845568986589
266,0.0014167396176324681,0.0009997396387359362,16.34869293318852
267,0.0014174066848989528,0.0009994244126083664,16.39615402934312
268,0.001408892509857228,0.0009770889625893605,16.88242538042462
269,0.001420178994896772,0.0009776565792687223,17.47292731014666
270,0.0014518268289487326,0.001010653900390483,17.760148326679616
271,0.0014279491218278336,0.0009992352291989153,16.958861069599795
272,0.0014359587615067361,0.0009994244126083664,17.381979153714653
273,0.0014443603471611935,0.0009994244126083664,17.84329435965379
274,0.0014489778513793747,0.0010119568697374774,17.54781432373911
275,0.0014717094527762493,0.001011418774793903,18.843088693134508
276,0.0014717094527762493,0.001011418774793903,18.843088693134508
277,0.0014575857838422246,0.0010109726683846547,18.064470970630744
278,0.0014255509314500879,0.0009891897907324985,17.260183194659135
279,0.0014527567235789011,0.0009997396387359362,18.299400311962824
280,0.001473431442980233,0.000989538916747779,20.002427568020675
281,0.00145036892608005,0.0009879455066181312,18.7095108035746
282,0.0014917590774716897,0.001010653900390483,20.061166015728418
283,0.0014915430652089443,0.0010104625913247458,20.057578734467512
284,0.0014477762273868934,0.0009770889625893605,19.07755512595158
285,0.0014897646500605722,0.0009994244126083664,20.50359923662459
286,0.0014610185857335594,0.0009879455066181312,19.334293338129896
287,0.0014862070991957194,0.001000180788407304,20.24649666628205
288,0.001453003717232227,0.0009776565792687223,19.360778467725126
289,0.0014883680549081383,0.001000180788407304,20.379011533030166
290,0.0014978223935184325,0.0010109599904217625,20.414484895611473
291,0.0014749703644844005,0.0009992352291989153,19.614331006878672
292,0.001458761898940616,0.0009882546222846414,19.18561540341955
293,0.0014912867167364337,0.0009997396387359362,20.581656443727603
294,0.0014902298909239208,0.0009879455066181312,21.131543053976923
295,0.001479066327099318,0.0010007476950936057,19.785429001024255
296,0.0014912867167364337,0.001000180788407304,20.5590597758597
297,0.001486164696105818,0.001000180788407304,20.24390312730984
298,0.0015192399209747007,0.0009993040027017413,22.395690444325318
299,0.001508262351811166,0.0009889655848523038,22.246888461559333
300,0.0014933137257255903,0.000988009292362887,21.325167767084647
301,0.0014965596513576034,0.0009882006248939442,21.523704373408076
302,0.0015178834084949987,0.000988519430149486,22.91693213395112
303,0.0015164295963177516,0.0009997396387359362,22.186187284635032
304,0.0015307762106496223,0.0009993040027017413,23.16944522586528
305,0.0015435210208304365,0.0010109726683846547,23.36304113495523
306,0.001509434140914946,0.0009776565792687223,22.973165256260565
307,0.0015122085383685424,0.0009770889625893605,23.196887475722942
308,0.0015434505121887992,0.001000180788407304,23.99086750983816
309,0.0015197505520528481,0.0009879455066181312,23.0771248085819
310,0.00151020985330342,0.000977152047391866,23.055837577094497
311,0.0015106995716927618,0.0009773412773676372,23.07829546131549
312,0.0015275676335021015,0.000988009292362887,23.611100067560006
313,0.0015301644529513712,0.000989538916747779,23.700385676724483
314,0.0015449196880486379,0.000988009292362887,24.839436350236767
